L 05/22/2020 - 00:20:43: "Bot75<77><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:43: "Bot75<77><BOT><>" entered the game
L 05/22/2020 - 00:20:43: "Bot76<78><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:43: "Bot76<78><BOT><>" entered the game
L 05/22/2020 - 00:20:44: "Bot77<79><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:44: "Bot77<79><BOT><>" entered the game
L 05/22/2020 - 00:20:44: "Bot78<80><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:44: "Bot78<80><BOT><>" entered the game
L 05/22/2020 - 00:20:44: "Bot79<81><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:44: "Bot79<81><BOT><>" entered the game
L 05/22/2020 - 00:20:44: "Bot80<82><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:44: "Bot80<82><BOT><>" entered the game
L 05/22/2020 - 00:20:44: "Bot81<83><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:44: "Bot81<83><BOT><>" entered the game
L 05/22/2020 - 00:54:29: "DidVaitel<2><STEAM_0:1:74202541><>" disconnected (reason "Disconnect by user.")
L 05/22/2020 - 00:54:29: "Bot01<3><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot02<4><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot03<5><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot04<6><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot05<7><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot06<8><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot07<9><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot08<10><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot09<11><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot10<12><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot11<13><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot12<14><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot13<15><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot14<16><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot15<17><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot16<18><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot17<19><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot18<20><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot19<21><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot20<22><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot21<23><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot22<24><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot23<25><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot24<26><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot25<27><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot26<28><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot27<29><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot28<30><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot29<31><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot30<32><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot31<33><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot32<34><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot33<35><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot34<36><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot35<37><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot36<38><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot37<39><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot38<40><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot39<41><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot40<42><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot41<43><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot42<44><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot43<45><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot44<46><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot45<47><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot46<48><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot47<49><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot48<50><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot49<51><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot50<52><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot51<53><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot52<54><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot53<55><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot54<56><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot55<57><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot56<58><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot57<59><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot58<60><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot59<61><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot60<62><BOT><>" disconnected (reason "Punting bot, server is hibernating")
L 05/22/2020 - 00:54:29: "Bot61<63><BOT><>" disconnected (reason "Punting bot, server is hibernating")
